fontsize,tracking,tracking_points
18,41,0.24
21,34,0.23
24,26,0.21
27,19,0.17
30,12,0.12
33,6,0.06
36,0,0.0
39,-6,-0.08
42,-11,-0.15
45,-16,-0.23
48,-20,-0.31
51,-26,-0.43
54,-25,-0.44
57,-24,-0.45
60,-23,-0.45
63,-18,-0.36
66,-12,-0.26
69,-4,-0.10
72,3,0.07
75,6,0.15
78,8,0.22
81,11,0.29
84,14,0.38
87,14,0.40
90,14,0.40
93,13,0.39
96,13,0.41
99,12,0.40
102,12,0.40
105,11,0.38
108,10,0.37
111,10,0.36
114,10,0.37
117,10,0.38
120,10,0.37
123,9,0.36
126,9,0.37
129,9,0.38
132,8,0.37
135,8,0.35
138,8,0.36
141,8,0.37
144,8,0.35
147,7,0.33
150,7,0.34
153,7,0.35
156,6,0.31
159,6,0.33
162,6,0.32
168,6,0.30
174,5,0.28
180,4,0.26
186,4,0.24
192,4,0.22
198,3,0.19
204,2,0.17
210,2,0.14
216,2,0.14
228,1,0.07
240,0,0
252,0,0
264,0,0
276,0,0
288,0,0
