,First,Second,Fontsize,Tracking,Distance,
,z,w,72,-36,55.0,
,z,w,72,-40,54.0,
,m,z,72,36,48.5,
,m,z,72,32,48.5,
,z,m,72,40,48.5,
,m,z,72,40,48.5,
,w,l,72,-20,48.5,
,z,m,72,28,48.0,
,m,z,72,20,47.5,
,z,m,72,36,47.5,
,z,m,72,32,47.5,
,m,z,72,24,47.5,
,z,m,70,40,47.5,
,m,z,70,32,47.0,
,w,d,70,-24,47.0,
,z,m,70,36,47.0,
,m,z,70,36,47.0,
,z,m,72,8,47.0,
,w,l,72,-28,47.0,
,m,z,72,28,47.0,
,z,m,72,20,46.5,
,z,m,70,24,46.5,
,w,d,70,-32,46.5,
,z,m,72,24,46.5,
,m,z,70,40,46.5,
,z,m,72,16,46.5,
,m,z,72,16,46.5,
,z,m,72,12,46.5,
,m,z,70,28,46.5,
,z,m,70,32,46.0,
,z,w,72,36,46.0,
,z,w,72,32,46.0,
,z,m,68,40,46.0,
,m,z,68,40,46.0,
,z,w,72,40,46.0,
,z,m,68,36,46.0,
,w,d,70,-28,46.0,
,m,z,70,16,46.0,
,m,z,72,12,46.0,
,w,d,70,-36,45.5,
,m,z,70,24,45.5,
,z,m,70,20,45.5,
,m,z,70,20,45.5,
,z,w,60,-32,45.5,
,z,m,70,8,45.5,
,z,m,72,-4,45.5,
,m,z,72,-4,45.5,
,m,z,72,8,45.5,
,z,m,72,4,45.5,
,m,z,72,4,45.5,
,z,m,72,0,45.5,
,m,z,72,0,45.5,
,z,m,70,12,45.5,
,z,m,70,28,45.5,
,z,w,72,20,45.0,
,z,m,66,40,45.0,
,w,z,72,36,45.0,
,z,w,72,24,45.0,
,z,w,60,-40,45.0,
,w,d,70,-40,45.0,
,z,m,68,32,45.0,
,m,z,68,32,45.0,
,w,z,72,40,45.0,
,z,m,68,24,45.0,
,z,m,68,20,45.0,
,m,z,68,36,45.0,
,m,z,72,-8,45.0,
,z,m,72,-12,45.0,
,z,m,68,28,45.0,
,z,w,72,28,45.0,
,z,w,72,16,45.0,
,z,m,70,16,45.0,
,z,w,70,36,44.5,
,z,w,70,20,44.5,
,m,z,70,8,44.5,
,z,w,70,40,44.5,
,m,z,72,-20,44.5,
,z,m,72,-8,44.5,
,z,m,70,4,44.5,
,m,z,70,4,44.5,
,m,z,72,-12,44.5,
,m,z,72,-16,44.5,
,z,m,70,0,44.5,
,m,z,70,0,44.5,
,m,z,70,12,44.5,
,w,d,68,-28,44.5,
,w,z,72,32,44.0,
,z,m,68,8,44.0,
,z,m,66,36,44.0,
,m,z,66,36,44.0,
,m,z,72,-24,44.0,
,z,m,70,-4,44.0,
,m,z,70,-4,44.0,
,m,z,68,24,44.0,
,z,m,72,-32,44.0,
,z,m,66,20,44.0,
,w,d,66,-16,44.0,
,m,z,68,20,44.0,
,z,w,72,-4,44.0,
,z,w,72,8,44.0,
,z,m,66,32,44.0,
,m,z,68,12,44.0,
,z,w,72,4,44.0,
,z,m,66,16,44.0,
,z,m,66,28,44.0,
,m,z,68,28,44.0,
,z,m,72,-28,44.0,
,z,m,68,16,44.0,
,m,z,68,16,44.0,
,w,z,72,28,44.0,
,z,w,72,12,44.0,
,z,w,70,24,43.5,
,z,w,70,32,43.5,
,w,z,70,32,43.5,
,w,l,68,-36,43.5,
,w,z,70,36,43.5,
,z,m,64,40,43.5,
,w,z,72,24,43.5,
,z,w,68,40,43.5,
,z,w,66,36,43.5,
,z,m,72,-24,43.5,
,z,w,68,32,43.5,
,m,z,66,24,43.5,
,z,w,70,8,43.5,
,w,z,70,40,43.5,
,z,w,68,36,43.5,
,z,m,64,36,43.5,
,z,m,72,-20,43.5,
,z,m,72,-16,43.5,
,m,z,72,-28,43.5,
,z,m,70,-8,43.5,
,m,z,70,-8,43.5,
,z,m,70,-16,43.5,
,z,w,70,12,43.5,
,z,w,70,16,43.5,
,z,m,70,-12,43.5,
,m,z,70,-12,43.5,
,z,w,70,28,43.5,
,w,z,70,28,43.5,
,w,z,72,20,43.0,
,m,z,66,40,43.0,
,z,m,70,-20,43.0,
,m,z,70,-20,43.0,
,m,z,68,-4,43.0,
,m,z,70,-24,43.0,
,m,z,68,8,43.0,
,m,z,66,32,43.0,
,z,m,68,12,43.0,
,z,w,72,-8,43.0,
,m,z,66,28,43.0,
,z,w,72,-16,43.0,
,z,m,66,12,43.0,
,z,w,72,0,43.0,
,z,m,68,4,43.0,
,m,z,68,4,43.0,
,w,z,72,16,43.0,
,z,m,66,8,43.0,
,z,m,68,-8,43.0,
,w,z,72,12,43.0,
,z,m,68,0,43.0,
,m,z,68,0,43.0,
,z,m,70,-36,42.5,
,w,z,70,24,42.5,
,z,w,66,40,42.5,
,z,w,56,-36,42.5,
,z,m,66,4,42.5,
,m,z,64,40,42.5,
,w,z,68,40,42.5,
,z,w,70,-4,42.5,
,z,m,64,32,42.5,
,z,w,68,24,42.5,
,z,m,64,24,42.5,
,z,w,56,-40,42.5,
,m,z,72,-32,42.5,
,z,m,66,24,42.5,
,z,w,66,24,42.5,
,z,m,72,-36,42.5,
,z,m,64,20,42.5,
,z,w,68,20,42.5,
,w,z,68,36,42.5,
,m,z,64,36,42.5,
,z,w,66,32,42.5,
,z,w,70,4,42.5,
,z,w,68,28,42.5,
,z,m,64,28,42.5,
,z,w,70,0,42.5,
,m,z,70,-16,42.5,
,z,m,70,-28,42.5,
,m,z,70,-28,42.5,
,w,z,70,16,42.5,
,z,m,68,-24,42.0,
,m,z,62,32,42.0,
,z,m,66,0,42.0,
,z,m,68,-4,42.0,
,z,m,70,-24,42.0,
,z,m,72,-40,42.0,
,m,z,62,36,42.0,
,z,m,66,-4,42.0,
,v,z,44,-40,42.0,
,z,m,70,-32,42.0,
,m,z,70,-32,42.0,
,z,m,68,-20,42.0,
,m,z,68,-20,42.0,
,m,z,70,-40,42.0,
,m,z,66,20,42.0,
,m,z,62,40,42.0,
,w,z,72,8,42.0,
,z,w,72,-20,42.0,
,m,z,66,16,42.0,
,z,w,72,-12,42.0,
,m,z,66,12,42.0,
,w,z,72,0,42.0,
,z,w,72,-28,42.0,
,z,m,68,-12,42.0,
,m,z,68,-12,42.0,
,m,z,66,8,42.0,
,z,m,66,-8,42.0,
,m,z,68,-8,42.0,
,z,m,68,-16,42.0,
,m,z,70,-36,41.5,
,z,m,64,0,41.5,
,z,w,68,-4,41.5,
,v,z,72,-40,41.5,
,m,z,66,4,41.5,
,z,m,64,4,41.5,
,w,z,70,20,41.5,
,z,w,68,8,41.5,
,m,z,64,32,41.5,
,w,z,68,32,41.5,
,w,z,68,24,41.5,
,m,z,64,24,41.5,
,z,w,66,20,41.5,
,w,z,70,8,41.5,
,w,z,68,20,41.5,
,z,w,68,12,41.5,
,z,m,64,12,41.5,
,w,z,72,4,41.5,
,z,w,66,28,41.5,
,w,z,70,4,41.5,
,w,z,68,28,41.5,
,m,z,64,28,41.5,
,z,w,66,12,41.5,
,z,w,70,-8,41.5,
,z,m,64,16,41.5,
,m,z,64,16,41.5,
,z,w,68,16,41.5,
,z,m,64,8,41.5,
,z,w,70,-16,41.5,
,z,w,68,4,41.5,
,w,z,70,12,41.5,
,z,w,68,-8,41.5,
,z,w,70,-12,41.5,
,m,z,68,-24,41.0,
,m,z,62,24,41.0,
,z,m,62,32,41.0,
,m,z,66,0,41.0,
,z,m,68,-32,41.0,
,z,m,68,-36,41.0,
,z,m,62,36,41.0,
,m,z,66,-4,41.0,
,m,z,62,20,41.0,
,z,w,64,40,41.0,
,z,w,72,-24,41.0,
,z,m,70,-40,41.0,
,z,w,64,32,41.0,
,m,z,60,40,41.0,
,z,m,66,-12,41.0,
,m,z,66,-12,41.0,
,z,w,72,-32,41.0,
,z,m,62,40,41.0,
,v,z,72,-36,41.0,
,z,m,68,-40,41.0,
,z,w,64,36,41.0,
,w,z,72,-8,41.0,
,w,z,72,-12,41.0,
,z,m,66,-20,41.0,
,m,z,62,12,41.0,
,m,z,62,16,41.0,
,m,z,68,-16,41.0,
,z,m,68,-28,41.0,
,m,z,68,-28,41.0,
,m,z,62,28,41.0,
,w,z,66,40,40.5,
,z,w,66,0,40.5,
,z,w,70,-20,40.5,
,z,m,64,-4,40.5,
,z,w,70,-24,40.5,
,z,w,66,4,40.5,
,m,z,64,4,40.5,
,w,z,68,8,40.5,
,z,w,68,-20,40.5,
,w,z,66,36,40.5,
,w,z,72,-24,40.5,
,w,z,70,-4,40.5,
,d,z,72,40,40.5,
,z,m,66,-16,40.5,
,m,z,66,-16,40.5,
,m,z,64,20,40.5,
,w,z,72,-4,40.5,
,w,z,66,32,40.5,
,w,z,68,12,40.5,
,m,z,64,12,40.5,
,z,w,66,16,40.5,
,w,z,66,28,40.5,
,w,z,72,-16,40.5,
,w,z,70,0,40.5,
,w,z,70,-8,40.5,
,w,z,68,16,40.5,
,m,z,64,8,40.5,
,w,z,68,4,40.5,
,z,w,68,-12,40.5,
,z,w,70,-28,40.5,
,z,w,66,8,40.5,
,z,w,66,-8,40.5,
,z,m,64,-8,40.5,
,z,w,68,-16,40.5,
,z,w,68,0,40.5,
,w,z,68,0,40.5,
,w,z,70,-12,40.5,
,z,m,62,24,40.0,
,m,z,62,4,40.0,
,z,m,60,36,40.0,
,m,z,60,36,40.0,
,m,z,68,-32,40.0,
,z,b,72,36,40.0,
,z,p,72,36,40.0,
,m,z,68,-36,40.0,
,z,m,60,32,40.0,
,m,z,60,32,40.0,
,m,z,62,0,40.0,
,z,m,62,20,40.0,
,w,z,64,40,40.0,
,m,z,60,24,40.0,
,m,z,62,-4,40.0,
,z,m,60,40,40.0,
,z,w,64,24,40.0,
,z,w,64,20,40.0,
,m,z,68,-40,40.0,
,z,m,66,-28,40.0,
,z,m,66,-24,40.0,
,m,z,66,-24,40.0,
,z,m,66,-32,40.0,
,z,w,52,-40,40.0,
,z,w,64,28,40.0,
,m,z,62,-8,40.0,
,z,w,64,16,40.0,
,m,z,60,28,40.0,
,m,z,66,-8,40.0,
,z,m,66,-40,40.0,
,m,z,62,8,40.0,
,z,m,62,28,40.0,
,z,w,68,-24,39.5,
,z,m,64,-16,39.5,
,m,z,64,-16,39.5,
,z,w,70,-36,39.5,
,z,w,62,24,39.5,
,m,z,64,0,39.5,
,z,w,62,32,39.5,
,w,z,70,-20,39.5,
,m,z,64,-4,39.5,
