chars,fontSize,width,tracking,fontWeight
AA,12,15,-60,SFProText-Regular
AB,12,15,-60,SFProText-Regular
AC,12,15,-60,SFProText-Regular
AD,12,16,-60,SFProText-Regular
AE,12,14,-60,SFProText-Regular
AF,12,14,-60,SFProText-Regular
AG,12,16,-60,SFProText-Regular
AH,12,15,-60,SFProText-Regular
AI,12,10,-60,SFProText-Regular
AJ,12,13,-60,SFProText-Regular
AK,12,15,-60,SFProText-Regular
AL,12,14,-60,SFProText-Regular
AM,12,17,-60,SFProText-Regular
AN,12,15,-60,SFProText-Regular
AO,12,16,-60,SFProText-Regular
AP,12,15,-60,SFProText-Regular
AQ,12,16,-60,SFProText-Regular
AR,12,15,-60,SFProText-Regular
AS,12,15,-60,SFProText-Regular
AT,12,14,-60,SFProText-Regular
AU,12,15,-60,SFProText-Regular
AV,12,15,-60,SFProText-Regular
AW,12,18,-60,SFProText-Regular
AX,12,15,-60,SFProText-Regular
AY,12,14,-60,SFProText-Regular
AZ,12,15,-60,SFProText-Regular
Aa,12,13,-60,SFProText-Regular
Ab,12,14,-60,SFProText-Regular
Ac,12,14,-60,SFProText-Regular
Ad,12,14,-60,SFProText-Regular
Ae,12,14,-60,SFProText-Regular
Af,12,12,-60,SFProText-Regular
Ag,12,14,-60,SFProText-Regular
Ah,12,14,-60,SFProText-Regular
Ai,12,10,-60,SFProText-Regular
Aj,12,10,-60,SFProText-Regular
Ak,12,14,-60,SFProText-Regular
Al,12,10,-60,SFProText-Regular
Am,12,17,-60,SFProText-Regular
An,12,14,-60,SFProText-Regular
Ao,12,14,-60,SFProText-Regular
Ap,12,14,-60,SFProText-Regular
Aq,12,14,-60,SFProText-Regular
Ar,12,12,-60,SFProText-Regular
As,12,13,-60,SFProText-Regular
At,12,11,-60,SFProText-Regular
Au,12,13,-60,SFProText-Regular
Av,12,13,-60,SFProText-Regular
Aw,12,16,-60,SFProText-Regular
Ax,12,13,-60,SFProText-Regular
Ay,12,13,-60,SFProText-Regular
Az,12,13,-60,SFProText-Regular
BA,12,14,-60,SFProText-Regular
BB,12,14,-60,SFProText-Regular
BC,12,15,-60,SFProText-Regular
BD,12,15,-60,SFProText-Regular
BE,12,13,-60,SFProText-Regular
BF,12,13,-60,SFProText-Regular
BG,12,15,-60,SFProText-Regular
BH,12,14,-60,SFProText-Regular
BI,12,9,-60,SFProText-Regular
BJ,12,12,-60,SFProText-Regular
BK,12,14,-60,SFProText-Regular
BL,12,13,-60,SFProText-Regular
BM,12,16,-60,SFProText-Regular
BN,12,14,-60,SFProText-Regular
BO,12,15,-60,SFProText-Regular
BP,12,14,-60,SFProText-Regular
BQ,12,15,-60,SFProText-Regular
BR,12,14,-60,SFProText-Regular
BS,12,14,-60,SFProText-Regular
BT,12,14,-60,SFProText-Regular
BU,12,14,-60,SFProText-Regular
BV,12,14,-60,SFProText-Regular
BW,12,18,-60,SFProText-Regular
BX,12,14,-60,SFProText-Regular
BY,12,14,-60,SFProText-Regular
BZ,12,14,-60,SFProText-Regular
Ba,12,12,-60,SFProText-Regular
Bb,12,13,-60,SFProText-Regular
Bc,12,13,-60,SFProText-Regular
Bd,12,13,-60,SFProText-Regular
Be,12,13,-60,SFProText-Regular
Bf,12,11,-60,SFProText-Regular
Bg,12,13,-60,SFProText-Regular
Bh,12,13,-60,SFProText-Regular
Bi,12,9,-60,SFProText-Regular
Bj,12,9,-60,SFProText-Regular
Bk,12,13,-60,SFProText-Regular
Bl,12,9,-60,SFProText-Regular
Bm,12,16,-60,SFProText-Regular
Bn,12,13,-60,SFProText-Regular
