char,fontSize,x1,y1,x2,y2,weight
0,10,0,-8,6,1,Regular
0,10,0,-8,6,1,Semibold
0,11,0,-8,7,1,Regular
0,11,0,-8,7,1,Semibold
0,12,0,-9,7,1,Regular
0,12,0,-9,8,1,Semibold
0,13,0,-10,8,1,Regular
0,13,0,-10,8,1,Semibold
0,14,1,-10,8,1,Regular
0,14,1,-10,9,1,Semibold
0,15,1,-11,9,1,Regular
0,15,1,-11,9,1,Semibold
0,16,1,-12,9,1,Regular
0,16,1,-12,10,1,Semibold
0,17,1,-13,10,1,Regular
0,17,1,-13,11,1,Semibold
0,18,1,-13,11,1,Regular
0,18,1,-13,11,1,Semibold
0,19,1,-14,11,1,Regular
0,19,1,-14,12,1,Semibold
0,20,1,-15,12,1,Regular
0,20,1,-15,12,1,Semibold
0,21,1,-16,12,1,Regular
0,21,1,-16,13,1,Semibold
0,22,1,-16,13,1,Regular
0,22,1,-16,14,1,Semibold
0,23,1,-17,13,1,Regular
0,23,1,-17,14,1,Semibold
0,24,1,-18,14,1,Regular
0,24,1,-18,15,1,Semibold
0,25,1,-18,14,1,Regular
0,25,1,-18,15,1,Semibold
0,26,1,-19,15,1,Regular
0,26,1,-19,16,1,Semibold
0,27,1,-20,16,1,Regular
0,27,1,-20,17,1,Semibold
0,28,1,-21,16,1,Regular
0,28,1,-21,17,1,Semibold
0,29,2,-21,17,1,Regular
0,29,1,-21,18,1,Semibold
0,30,2,-22,17,1,Regular
0,30,2,-22,18,1,Semibold
0,31,2,-23,18,1,Regular
0,31,2,-23,19,1,Semibold
0,32,2,-23,18,1,Regular
0,32,2,-23,20,1,Semibold
0,33,2,-24,19,1,Regular
0,33,2,-24,20,1,Semibold
0,34,2,-25,20,1,Regular
0,34,2,-25,21,1,Semibold
0,35,2,-26,20,1,Regular
0,35,2,-26,21,1,Semibold
0,36,2,-26,21,1,Regular
0,36,2,-26,22,1,Semibold
0,37,2,-27,21,1,Regular
0,37,2,-27,23,1,Semibold
0,38,2,-28,22,1,Regular
0,38,2,-28,23,1,Semibold
0,39,2,-29,22,1,Regular
0,39,2,-29,24,1,Semibold
0,40,2,-29,23,1,Regular
0,40,2,-29,24,1,Semibold
0,41,2,-30,23,1,Regular
0,41,2,-30,25,1,Semibold
0,42,2,-31,24,1,Regular
0,42,2,-31,26,1,Semibold
0,43,2,-31,25,1,Regular
0,43,2,-31,26,1,Semibold
0,44,3,-32,25,1,Regular
0,44,2,-32,27,1,Semibold
0,45,3,-33,26,1,Regular
0,45,3,-33,27,1,Semibold
0,46,3,-34,26,1,Regular
0,46,3,-34,28,1,Semibold
0,47,3,-34,27,1,Regular
0,47,3,-34,29,1,Semibold
0,48,3,-35,27,1,Regular
0,48,3,-35,29,1,Semibold
0,49,3,-36,28,1,Regular
0,49,3,-36,30,1,Semibold
0,50,3,-36,29,1,Regular
0,50,3,-36,30,1,Semibold
0,51,3,-37,29,1,Regular
0,51,3,-37,31,1,Semibold
0,52,3,-38,30,1,Regular
0,52,3,-38,32,1,Semibold
0,53,3,-39,30,1,Regular
0,53,3,-39,32,1,Semibold
0,54,3,-39,31,1,Regular
0,54,3,-39,33,1,Semibold
0,55,3,-40,31,1,Regular
0,55,3,-40,33,1,Semibold
0,56,3,-41,32,1,Regular
0,56,3,-41,34,1,Semibold
0,57,3,-41,33,1,Regular
0,57,3,-42,35,1,Semibold
0,58,3,-42,33,1,Regular
0,58,3,-42,35,1,Semibold
0,59,4,-43,34,1,Regular
0,59,3,-43,36,1,Semibold
0,60,4,-44,34,1,Regular
0,60,3,-44,36,1,Semibold
0,61,2,-44,35,1,Regular
0,61,2,-44,37,1,Semibold
0,62,2,-45,35,1,Regular
0,62,2,-45,37,1,Semibold
0,63,2,-46,36,1,Regular
0,63,2,-46,38,1,Semibold
0,64,2,-46,36,1,Regular
0,64,2,-46,38,1,Semibold
0,65,3,-47,37,1,Regular
0,65,2,-47,39,1,Semibold
0,66,3,-48,37,1,Regular
0,66,2,-48,40,1,Semibold
0,67,3,-48,38,1,Regular
0,67,2,-48,40,1,Semibold
0,68,3,-49,39,1,Regular
0,68,2,-49,41,1,Semibold
0,69,3,-50,39,1,Regular
0,69,3,-50,41,1,Semibold
0,70,3,-51,40,1,Regular
0,70,3,-51,42,1,Semibold
0,71,3,-51,40,1,Regular
0,71,3,-51,43,1,Semibold
0,72,3,-52,41,1,Regular
0,72,3,-52,43,1,Semibold
0,73,3,-53,41,1,Regular
0,73,3,-53,44,1,Semibold
0,74,3,-53,42,1,Regular
0,74,3,-53,44,1,Semibold
0,75,3,-54,43,1,Regular
0,75,3,-54,45,1,Semibold
0,76,3,-55,43,1,Regular
0,76,3,-55,46,1,Semibold
0,77,3,-56,44,1,Regular
0,77,3,-56,46,1,Semibold
0,78,3,-56,44,1,Regular
0,78,3,-56,47,1,Semibold
0,79,3,-57,45,1,Regular
0,79,3,-57,47,1,Semibold
0,80,3,-58,45,1,Regular
0,80,3,-58,48,1,Semibold
0,81,3,-58,46,1,Regular
0,81,3,-58,49,1,Semibold
0,82,3,-59,46,1,Regular
0,82,3,-59,49,1,Semibold
0,83,3,-60,47,1,Regular
0,83,3,-60,50,1,Semibold
0,84,3,-61,48,1,Regular
0,84,3,-61,50,1,Semibold
0,85,3,-61,48,1,Regular
0,85,3,-61,51,1,Semibold
0,86,3,-62,49,1,Regular
0,86,3,-62,52,1,Semibold
0,87,3,-63,49,1,Regular
0,87,3,-63,52,1,Semibold
0,88,4,-63,50,1,Regular
0,88,3,-63,53,1,Semibold
0,89,4,-64,50,1,Regular
0,89,3,-64,53,1,Semibold
0,90,4,-65,51,1,Regular
0,90,3,-65,54,1,Semibold
0,91,4,-66,52,1,Regular
0,91,3,-66,55,1,Semibold
0,92,4,-66,52,1,Regular
0,92,3,-66,55,1,Semibold
0,93,4,-67,53,1,Regular
0,93,4,-67,56,2,Semibold
0,94,4,-68,53,1,Regular
0,94,4,-68,56,2,Semibold
0,95,4,-68,54,1,Regular
0,95,4,-68,57,2,Semibold
0,96,4,-69,54,2,Regular
0,96,4,-69,58,2,Semibold
0,97,4,-70,55,2,Regular
0,97,4,-70,58,2,Semibold
0,98,4,-71,55,2,Regular
0,98,4,-71,59,2,Semibold
0,99,4,-71,56,2,Regular
0,99,4,-71,59,2,Semibold
1,10,0,-7,4,0,Regular
1,10,0,-7,4,0,Semibold
1,11,0,-8,4,0,Regular
1,11,0,-8,4,0,Semibold
1,12,0,-9,4,0,Regular
1,12,0,-9,5,0,Semibold
1,13,0,-10,5,0,Regular
1,13,0,-10,5,0,Semibold
1,14,1,-10,5,0,Regular
1,14,1,-10,6,0,Semibold
1,15,1,-11,5,0,Regular
1,15,0,-11,6,0,Semibold
1,16,1,-12,6,0,Regular
1,16,1,-12,6,0,Semibold
1,17,1,-12,6,0,Regular
1,17,1,-12,7,0,Semibold
1,18,1,-13,6,0,Regular
1,18,1,-13,7,0,Semibold
1,19,1,-14,7,0,Regular
1,19,1,-14,7,0,Semibold
1,20,1,-14,7,0,Regular
1,20,1,-14,8,0,Semibold
1,21,1,-15,7,0,Regular
1,21,1,-15,8,0,Semibold
1,22,1,-16,8,0,Regular
1,22,1,-16,9,0,Semibold
1,23,1,-17,8,0,Regular
1,23,1,-17,9,0,Semibold
1,24,1,-17,9,0,Regular
1,24,1,-17,9,0,Semibold
1,25,1,-18,9,0,Regular
1,25,1,-18,10,0,Semibold
1,26,1,-19,9,0,Regular
1,26,1,-19,10,0,Semibold
1,27,1,-19,10,0,Regular
1,27,1,-19,10,0,Semibold
1,28,1,-20,10,0,Regular
1,28,1,-20,11,0,Semibold
1,29,1,-21,10,0,Regular
1,29,1,-21,11,0,Semibold
1,30,1,-22,11,0,Regular
1,30,2,-22,12,0,Semibold
1,31,2,-22,11,0,Regular
1,31,2,-22,12,0,Semibold
1,32,2,-23,11,0,Regular
1,32,2,-23,12,0,Semibold
1,33,2,-24,12,0,Regular
1,33,2,-24,13,0,Semibold
1,34,2,-24,12,0,Regular
1,34,2,-24,13,0,Semibold
1,35,2,-25,12,0,Regular
1,35,2,-25,13,0,Semibold
1,36,2,-26,13,0,Regular
1,36,2,-26,14,0,Semibold
1,37,2,-26,13,0,Regular
1,37,2,-26,14,0,Semibold
1,38,2,-27,13,0,Regular
1,38,2,-27,15,0,Semibold
1,39,2,-28,14,0,Regular
1,39,2,-28,15,0,Semibold
1,40,2,-29,14,0,Regular
1,40,2,-29,15,0,Semibold
1,41,2,-29,14,0,Regular
1,41,2,-29,16,0,Semibold
1,42,2,-30,15,0,Regular
1,42,2,-30,16,0,Semibold
1,43,2,-31,15,0,Regular
1,43,2,-31,16,0,Semibold
1,44,2,-31,15,0,Regular
1,44,2,-31,17,0,Semibold
1,45,2,-32,16,0,Regular
1,45,2,-32,17,0,Semibold
1,46,3,-33,16,0,Regular
1,46,2,-33,17,0,Semibold
1,47,3,-33,16,0,Regular
1,47,3,-33,18,0,Semibold
1,48,3,-34,17,0,Regular
1,48,3,-34,18,0,Semibold
1,49,3,-35,17,0,Regular
1,49,3,-35,19,0,Semibold
1,50,3,-36,17,0,Regular
1,50,3,-36,19,0,Semibold
1,51,3,-36,18,0,Regular
1,51,3,-36,19,0,Semibold
1,52,3,-37,18,0,Regular
1,52,3,-37,20,0,Semibold
1,53,3,-38,18,0,Regular
