char,size,frontspace
A,100,1
B,100,6
C,100,4
D,100,6
E,100,6
F,100,6
G,100,4
H,100,6
I,100,6
J,100,2
K,100,6
L,100,6
M,100,6
N,100,6
O,100,4
P,100,6
Q,100,4
R,100,6
S,100,3
T,100,2
U,100,6
V,100,1
W,100,2
X,100,2
Y,100,1
Z,100,4
a,100,3
b,100,5
c,100,3
d,100,3
e,100,3
f,100,1
g,100,3
h,100,5
i,100,4
j,100,0
k,100,5
l,100,5
m,100,5
n,100,5
o,100,3
p,100,5
q,100,3
r,100,5
s,100,4
t,100,0
u,100,5
v,100,1
w,100,1
x,100,1
y,100,1
z,100,4
1,100,4
2,100,5
3,100,4
4,100,3
5,100,5
6,100,4
7,100,3
8,100,4
9,100,3
0,100,4
